  f[Mhz]       ?           ?       Relative Power
1420,588281	0,059604	0,037533	1,588028
1420,589453	0,059490	0,037502	1,58632
1420,590625	0,059255	0,037469	1,581418
1420,591797	0,059490	0,037489	1,586861
1420,592969	0,059800	0,037460	1,596352
1420,594141	0,059629	0,037480	1,590978
1420,595312	0,059513	0,037513	1,586472
1420,596484	0,059512	0,037584	1,583438
1420,597656	0,059560	0,037564	1,585558
1420,598828	0,059646	0,037603	1,586227
1420,600000	0,059550	0,037676	1,580602
1420,601172	0,059528	0,037755	1,576709
1420,602344	0,059734	0,037773	1,581401
1420,603516	0,059997	0,037712	1,590908
1420,604687	0,060385	0,037680	1,602579
1420,605859	0,060590	0,037739	1,605513
1420,607031	0,060237	0,037763	1,595113
1420,608203	0,059946	0,037752	1,587905
1420,609375	0,059857	0,037800	1,583524
1420,610547	0,059963	0,037869	1,583439
1420,611719	0,060288	0,037878	1,591653
1420,612891	0,060511	0,037856	1,598460
1420,614063	0,060239	0,037903	1,589298
1420,615234	0,059798	0,037982	1,574371
1420,616406	0,060007	0,037981	1,579896
1420,617578	0,060152	0,037935	1,585662
1420,618750	0,060116	0,037960	1,583673
1420,619922	0,060287	0,038065	1,583783
1420,621094	0,060298	0,038073	1,583739
1420,622266	0,060334	0,038072	1,584728
1420,623437	0,060628	0,038147	1,589334
1420,624609	0,060814	0,038194	1,592232
1420,625781	0,060943	0,038182	1,596128
1420,626953	0,060678	0,038164	1,589932
1420,628125	0,060618	0,038137	1,589498
1420,629297	0,060599	0,038167	1,587727
1420,630469	0,060718	0,038174	1,590553
1420,631641	0,060971	0,038185	1,596727
1420,632812	0,060897	0,038228	1,592965
1420,633984	0,060874	0,038190	1,593965
1420,635156	0,060796	0,038205	1,591302
1420,636328	0,060839	0,038355	1,586190
1420,637500	0,060835	0,038335	1,586949
1420,638672	0,061037	0,038287	1,594198
1420,639844	0,061095	0,038334	1,593770
1420,641016	0,060890	0,038366	1,587101
1420,642187	0,060726	0,038417	1,580711
1420,643359	0,060876	0,038490	1,581579
1420,644531	0,060857	0,038518	1,579967
1420,645703	0,061065	0,038494	1,586322
1420,646875	0,061216	0,038512	1,589560
1420,648047	0,061079	0,038551	1,584361
1420,649219	0,060981	0,038552	1,58176
1420,650391	0,060946	0,038517	1,582324
1420,651562	0,060986	0,038524	1,583072
1420,652734	0,061008	0,038538	1,583034
1420,653906	0,061096	0,038544	1,585125
1420,655078	0,061221	0,038566	1,587424
1420,656250	0,060891	0,038594	1,577724
1420,657422	0,060630	0,038590	1,571144
1420,658594	0,061074	0,038649	1,580217
1420,659766	0,061441	0,038680	1,588428
1420,660938	0,061338	0,038703	1,584838
1420,662109	0,061185	0,038714	1,580437
1420,663281	0,061242	0,038713	1,581935
1420,664453	0,061527	0,038764	1,587204
1420,665625	0,061652	0,038731	1,591797
1420,666797	0,061474	0,038677	1,589409
1420,667969	0,061614	0,038770	1,589210
1420,669141	0,061605	0,038769	1,589032
1420,670312	0,061259	0,038683	1,583615
1420,671484	0,061502	0,038668	1,590506
1420,672656	0,061856	0,038759	1,595907
1420,673828	0,061700	0,038826	1,589157
1420,675000	0,061490	0,038893	1,581011
1420,676172	0,061572	0,038906	1,582557
1420,677344	0,061557	0,038851	1,584454
1420,678516	0,061256	0,038842	1,577057
1420,679688	0,061254	0,038852	1,576607
1420,680859	0,061481	0,038821	1,583698
1420,682031	0,061633	0,038858	1,586109
1420,683203	0,061769	0,038930	1,586669
1420,684375	0,061924	0,038965	1,589224
1420,685547	0,061759	0,039022	1,582666
1420,686719	0,061240	0,039061	1,567806
1420,687891	0,061289	0,039130	1,566301
1420,689062	0,061596	0,039144	1,573578
1420,690234	0,061502	0,039084	1,573577
1420,691406	0,061147	0,039004	1,567698
1420,692578	0,061048	0,038929	1,568194
1420,693750	0,061262	0,038942	1,573148
1420,694922	0,061478	0,038997	1,576484
1420,696094	0,061613	0,039075	1,576779
1420,697266	0,061706	0,039093	1,578455
1420,698437	0,061764	0,039072	1,580774
1420,699609	0,061730	0,039076	1,579769
1420,700781	0,061493	0,039090	1,573094
1420,701953	0,061369	0,039086	1,570095
1420,703125	0,061532	0,039097	1,573807
1420,704297	0,061622	0,039078	1,576890
1420,705469	0,061988	0,039022	1,588547
1420,706641	0,061976	0,039096	1,585217
1420,707813	0,062045	0,039148	1,584884
1420,708984	0,062267	0,039129	1,591322
1420,710156	0,061732	0,039135	1,577412
1420,711328	0,061378	0,039085	1,570373
1420,712500	0,061485	0,039064	1,573971
1420,713672	0,061619	0,039094	1,576184
1420,714844	0,061648	0,039166	1,573996
1420,716016	0,061591	0,039219	1,570444
1420,717187	0,061781	0,039227	1,574977
1420,718359	0,061789	0,039197	1,576370
1420,719531	0,061736	0,039193	1,575193
1420,720703	0,061850	0,039176	1,578755
1420,721875	0,062004	0,039105	1,585566
1420,723047	0,061824	0,039090	1,581601
1420,724219	0,061782	0,039122	1,579227
1420,725391	0,061904	0,039110	1,582810
1420,726562	0,061850	0,039126	1,580780
1420,727734	0,061789	0,039216	1,575611
1420,728906	0,061796	0,039217	1,575725
1420,730078	0,061858	0,039190	1,578394
1420,731250	0,061914	0,039161	1,581036
1420,732422	0,061848	0,039149	1,579808
1420,733594	0,061670	0,039142	1,575554
1420,734766	0,061564	0,039109	1,574158
1420,735937	0,061575	0,039166	1,572156
1420,737109	0,061628	0,039199	1,572194
1420,738281	0,061722	0,039171	1,575720
1420,739453	0,061806	0,039160	1,578316
1420,740625	0,061989	0,039157	1,583094
1420,741797	0,062007	0,039225	1,580797
